Date,Open,High,Low,Close,Adj Close,Volume
1986-12-31,243.369995,244.029999,241.279999,242.169998,242.169998,139200000
1987-01-02,242.169998,246.449997,242.169998,246.449997,246.449997,91880000
1987-01-05,246.449997,252.570007,246.449997,252.190002,252.190002,181900000
1987-01-06,252.199997,253.990005,252.139999,252.779999,252.779999,189300000
1987-01-07,252.779999,255.720001,252.649994,255.330002,255.330002,190900000
1987-01-08,255.360001,257.279999,254.970001,257.279999,257.279999,194500000
1987-01-09,257.260010,259.200012,256.109985,258.730011,258.730011,193000000
1987-01-12,258.720001,261.359985,257.920013,260.299988,260.299988,184200000
1987-01-13,260.299988,260.450012,259.209991,259.950012,259.950012,170900000
1987-01-14,259.950012,262.720001,259.619995,262.640015,262.640015,214200000
1987-01-15,262.649994,266.679993,262.640015,265.489990,265.489990,253100000
1987-01-16,265.459991,267.239990,264.309998,266.279999,266.279999,218400000
1987-01-19,266.260010,269.339996,264.000000,269.339996,269.339996,162800000
1987-01-20,269.339996,271.029999,267.649994,269.040009,269.040009,224800000
1987-01-21,269.040009,270.869995,267.350006,267.839996,267.839996,184200000
1987-01-22,267.839996,274.049988,267.320007,273.910004,273.910004,188700000
1987-01-23,273.910004,280.959991,268.410004,270.100006,270.100006,302400000
1987-01-26,270.100006,270.399994,267.730011,269.609985,269.609985,138900000
1987-01-27,269.609985,274.309998,269.609985,273.750000,273.750000,192300000
1987-01-28,273.750000,275.709991,273.029999,275.399994,275.399994,195800000
1987-01-29,275.399994,276.850006,272.540009,274.239990,274.239990,205300000
1987-01-30,274.239990,274.239990,271.380005,274.079987,274.079987,163400000
1987-02-02,274.079987,277.350006,273.160004,276.450012,276.450012,177400000
1987-02-03,276.450012,277.829987,275.839996,275.989990,275.989990,198100000
1987-02-04,275.989990,279.649994,275.350006,279.640015,279.640015,222400000
1987-02-05,279.640015,282.260010,278.660004,281.160004,281.160004,256700000
1987-02-06,281.160004,281.790009,279.869995,280.040009,280.040009,184100000
